,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
335,051490,나라엠앤디,10300,150,1.48,78.0,132.05,5596.0,1.84,60,0.58
336,190510,나무가,10200,0,0.0,,,3231.0,3.16,0,0.0
337,242040,나무기술,2990,70,2.4,131.0,22.82,592.0,5.05,0,0.0
338,089600,나스미디어,39650,0,0.0,2156.0,18.39,14753.0,2.69,660,1.66
339,293580,나우IB,18150,900,5.22,312.0,58.17,7428.0,2.44,150,0.83
340,138610,나이벡,36100,-350,-0.96,,,2767.0,13.05,0,0.0
341,130580,나이스디앤비,10050,60,0.6,686.0,14.65,3540.0,2.84,175,1.74
342,036800,나이스정보통신,29900,350,1.18,3212.0,9.31,23005.0,1.3,460,1.54
343,267320,나인테크,4900,195,4.14,,,,,0,0.0
344,001260,남광토건,14900,-450,-2.93,394.0,37.82,5379.0,2.77,0,0.0
345,008350,남선알미늄,3760,-35,-0.92,131.0,28.7,1621.0,2.32,0,0.0
346,008355,남선알미우,33600,-100,-0.3,,,,,0,0.0
347,004270,남성,4160,50,1.22,,,2379.0,1.75,25,0.6
348,003920,남양유업,350000,22000,6.71,34527.0,10.14,1028846.0,0.34,1000,0.29
349,003925,남양유업우,178000,2000,1.14,,,,,1050,0.59
350,025860,남해화학,9110,-10,-0.11,335.0,27.19,8735.0,1.04,60,0.66
351,111710,남화산업,9560,10,0.1,150.0,63.73,6556.0,1.46,50,0.52
352,091590,남화토건,10600,0,0.0,424.0,25.0,11305.0,0.94,70,0.66
353,168330,내츄럴엔도텍,2525,0,0.0,,,1010.0,2.5,0,0.0
354,094860,네오리진,2060,-40,-1.9,,,214.0,9.63,0,0.0
355,253590,네오셈,3660,30,0.83,,,999.0,3.66,10,0.27
356,212560,네오오토,8720,-270,-3.0,317.0,27.51,10077.0,0.87,50,0.57
357,095660,네오위즈,24200,-50,-0.21,1133.0,21.36,14741.0,1.64,0,0.0
358,042420,네오위즈홀딩스,43450,2850,7.02,2529.0,17.18,36556.0,1.19,123,0.28
359,311390,네오크레마,8480,160,1.92,164.0,51.71,5197.0,1.63,0,0.0
360,085910,네오티스,4275,10,0.23,135.0,31.67,3880.0,1.1,250,5.85
361,092730,네오팜,35650,-250,-0.7,2570.0,13.87,12878.0,2.77,750,2.1
362,290660,네오펙트,3180,80,2.58,,,907.0,3.51,0,0.0
363,306620,네온테크,4370,-90,-2.02,4.0,1092.5,1822.0,2.4,0,0.0
364,153460,네이블,6920,-190,-2.67,,,3674.0,1.88,0,0.0
365,007390,네이처셀,10500,300,2.94,16.0,656.25,1338.0,7.85,0,0.0
366,033640,네패스,42000,-400,-0.94,1349.0,31.13,9053.0,4.64,270,0.64
367,330860,네패스아크,43500,-1450,-3.23,763.0,57.01,3876.0,11.22,0,0.0
368,005720,넥센,4975,80,1.63,1055.0,4.72,18028.0,0.28,80,1.61
369,005725,넥센우,3145,5,0.16,,,,,85,2.7
370,002350,넥센타이어,7800,40,0.52,1153.0,6.76,14921.0,0.52,105,1.35
371,002355,넥센타이어1우B,3085,45,1.48,,,,,110,3.57
372,089140,넥스턴,19450,-850,-4.19,539.0,36.09,8455.0,2.3,100,0.51
373,065170,넥스트BT,1430,20,1.42,,,734.0,1.95,0,0.0
374,003580,넥스트사이언스,9040,640,7.62,,,2692.0,3.36,0,0.0
375,137940,넥스트아이,1400,80,6.06,,,1028.0,1.36,0,0.0
376,348210,넥스틴,72900,-100,-0.14,,,180.0,405.0,0,0.0
377,041140,넥슨지티,13900,350,2.58,85.0,163.53,3040.0,4.57,0,0.0
378,217270,넵튠,27000,-950,-3.4,,,2945.0,9.17,0,0.0
379,225570,넷게임즈,14100,-400,-2.76,,,1323.0,10.66,0,0.0
380,251270,넷마블,140000,8500,6.46,1883.0,74.35,51919.0,2.7,0,0.0
381,104620,노랑풍선,23500,0,0.0,,,11795.0,1.99,200,0.85
382,090350,노루페인트,12650,-750,-5.6,923.0,13.71,15754.0,0.8,275,2.17
383,090355,노루페인트우,15450,-250,-1.59,,,,,280,1.81
384,000320,노루홀딩스,14050,-150,-1.06,439.0,32.0,27108.0,0.52,400,2.85
385,000325,노루홀딩스우,18500,200,1.09,,,,,405,2.19
386,194700,노바렉스,40700,-400,-0.97,1850.0,22.0,10195.0,3.99,200,0.49
387,285490,노바텍,43350,4900,12.74,548.0,79.11,2838.0,15.27,242,0.56
388,278650,노터스,27000,-250,-0.92,650.0,41.54,5581.0,4.84,0,0.0
389,006280,녹십자,340000,-3500,-1.02,,,89738.0,3.79,1000,0.29
390,144510,녹십자랩셀,113200,10300,10.01,,,4174.0,27.12,25,0.02
391,031390,녹십자셀,43100,800,1.89,923.0,46.7,6986.0,6.17,100,0.23
392,142280,녹십자엠에스,12000,1300,12.15,,,2348.0,5.11,0,0.0
393,234690,녹십자웰빙,13000,100,0.78,400.0,32.5,4685.0,2.77,80,0.62
394,005250,녹십자홀딩스,37200,1450,4.06,59.0,630.51,16407.0,2.27,325,0.87
395,005257,녹십자홀딩스2우,93000,0,0.0,,,,,325,0.35
396,065560,녹원씨엔아이,5770,0,0.0,,,4418.0,1.31,0,0.0
397,004370,농심,293500,0,0.0,12277.0,23.91,316955.0,0.93,4000,1.36
398,072710,농심홀딩스,78100,500,0.64,7887.0,9.9,198514.0,0.39,2000,2.56
399,054050,농우바이오,12600,0,0.0,436.0,28.9,14399.0,0.88,200,1.59
400,040160,누리텔레콤,7560,-110,-1.43,761.0,9.93,5666.0,1.33,50,0.66
401,069140,누리플랜,7940,90,1.15,,,4313.0,1.84,0,0.0
402,126870,뉴로스,2230,0,0.0,,,2748.0,0.81,0,0.0
403,060260,뉴보텍,1545,10,0.65,66.0,23.41,826.0,1.87,0,0.0
404,012340,뉴인텍,3795,60,1.61,,,899.0,4.22,0,0.0
405,214870,뉴지랩,11150,-200,-1.76,,,2710.0,4.11,0,0.0
406,270870,뉴트리,33450,-950,-2.76,1056.0,31.68,6336.0,5.28,150,0.45
407,144960,뉴파워프라즈마,6600,40,0.61,135.0,48.89,3269.0,2.02,0,0.0
408,085670,뉴프렉스,1750,-50,-2.78,,,2301.0,0.76,0,0.0
409,119860,다나와,32700,-450,-1.36,1822.0,17.95,8387.0,3.9,400,1.22
410,064260,다날,8100,0,0.0,434.0,18.66,3168.0,2.56,0,0.0
411,093640,다믈멀티미디어,3245,-20,-0.61,53.0,61.23,1961.0,1.65,0,0.0
412,039560,다산네트웍스,9990,-110,-1.09,51.0,195.88,5002.0,2.0,0,0.0
413,058730,다스코,5140,10,0.19,125.0,41.12,8008.0,0.64,0,0.0
414,023590,다우기술,28450,-150,-0.52,4283.0,6.64,29783.0,0.96,400,1.41
415,032190,다우데이타,13750,-250,-1.79,1782.0,7.72,15886.0,0.87,180,1.31
416,068240,다원시스,19750,350,1.8,155.0,127.42,7550.0,2.62,100,0.51
417,019680,대교,4360,-70,-1.58,190.0,22.95,5848.0,0.75,170,3.9
418,019685,대교우B,2790,-10,-0.36,,,,,180,6.45
419,006370,대구백화점,10500,-150,-1.41,,,25376.0,0.41,100,0.95
420,008060,대덕,7050,-30,-0.42,976.0,7.22,12786.0,0.55,300,4.26
421,00806K,대덕1우,8880,170,1.95,,,,,305,3.43
422,353200,대덕전자,14250,50,0.35,,,,,0,0.0
423,35320K,대덕전자1우,10700,0,0.0,,,,,0,0.0
424,000490,대동공업,11150,-550,-4.7,150.0,74.33,9019.0,1.24,60,0.54
425,020400,대동금속,10250,-50,-0.49,,,13552.0,0.76,60,0.59
426,008830,대동기어,4590,145,3.26,,,6383.0,0.72,25,0.54
427,048470,대동스틸,6070,-10,-0.16,32.0,189.69,6111.0,0.99,30,0.49
428,008110,대동전자,9150,2110,29.97,512.0,17.87,13257.0,0.69,500,5.46
429,004780,대륙제관,6170,180,3.01,337.0,18.31,6719.0,0.92,100,1.62
430,005750,대림B&Co,7300,-120,-1.62,132.0,55.3,9607.0,0.76,130,1.78
431,017650,대림제지,13900,100,0.72,280.0,49.64,17050.0,0.82,0,0.0
432,006570,대림통상,4230,40,0.95,,,6005.0,0.7,140,3.31
433,007720,대명소노시즌,1420,-20,-1.39,633.0,2.24,1643.0,0.86,0,0.0
434,317850,대모,5320,20,0.38,235.0,22.64,5213.0,1.02,70,1.32
435,290670,대보마그네틱,32600,100,0.31,593.0,54.97,5448.0,5.98,0,0.0
436,078140,대봉엘에스,11300,550,5.12,517.0,21.86,7289.0,1.55,50,0.44
437,001680,대상,26600,200,0.76,2976.0,8.94,27896.0,0.95,600,2.26
438,001685,대상우,19050,0,0.0,,,,,610,3.2
439,084690,대상홀딩스,10750,-50,-0.46,1946.0,5.52,15703.0,0.68,200,1.86
440,084695,대상홀딩스우,11350,-700,-5.81,,,,,210,1.85
441,036480,대성미생물,21400,450,2.15,750.0,28.53,9235.0,2.32,85,0.4
442,128820,대성산업,4365,-250,-5.42,,,9118.0,0.48,0,0.0
443,117580,대성에너지,5530,-20,-0.36,474.0,11.67,11145.0,0.5,250,4.52
444,025440,대성엘텍,1315,-10,-0.75,,,387.0,3.4,0,0.0
445,027830,대성창투,5510,50,0.92,,,1250.0,4.41,0,0.0
446,104040,대성파인텍,2820,20,0.71,39.0,72.31,1693.0,1.67,0,0.0
447,016710,대성홀딩스,30200,100,0.33,837.0,36.08,26020.0,1.16,250,0.83
448,332290,대신밸런스제7호스팩,2115,5,0.24,,,,,0,0.0
449,336570,대신밸런스제8호스팩,2100,-10,-0.47,,,,,0,0.0
450,369370,대신밸런스제9호스팩,2130,-10,-0.47,,,,,0,0.0
451,020180,대신정보통신,2040,-75,-3.55,39.0,52.31,678.0,3.01,10,0.49
452,003540,대신증권,16550,-250,-1.49,1310.0,12.63,22870.0,0.72,1000,6.04
453,003547,대신증권2우B,13800,50,0.36,,,,,1050,7.61
454,003545,대신증권우,14100,50,0.36,,,,,1050,7.45
455,045390,대아티아이,5220,-60,-1.14,30.0,174.0,1327.0,3.93,20,0.38
456,009190,대양금속,4170,-10,-0.24,230.0,18.13,1907.0,2.19,0,0.0
457,108380,대양전기공업,17750,600,3.5,1334.0,13.31,21740.0,0.82,200,1.13
458,006580,대양제지,3260,0,0.0,1070.0,3.05,5010.0,0.65,40,1.23
459,014160,대영포장,2990,-65,-2.13,100.0,29.9,1389.0,2.15,0,0.0
460,047040,대우건설,6710,-100,-1.47,508.0,13.21,5916.0,1.13,0,0.0
461,009320,대우부품,2520,-10,-0.4,,,775.0,3.25,0,0.0
462,042660,대우조선해양,29000,900,3.2,,,35025.0,0.83,0,0.0
463,003090,대웅,33150,150,0.45,1446.0,22.93,10795.0,3.07,100,0.3
464,069620,대웅제약,134500,3500,2.67,2132.0,63.09,44820.0,3.0,600,0.45
465,007680,대원,10250,250,2.5,845.0,12.13,25261.0,0.41,250,2.44
466,000430,대원강업,4360,-50,-1.13,258.0,16.9,7743.0,0.56,115,2.64
467,048910,대원미디어,45350,10450,29.94,90.0,503.89,6244.0,7.26,0,0.0
468,005710,대원산업,8320,20,0.24,1950.0,4.27,15540.0,0.54,125,1.5
469,006340,대원전선,1510,5,0.33,,,1136.0,1.33,0,0.0
470,006345,대원전선우,2540,10,0.4,,,,,0,0.0
471,003220,대원제약,16500,50,0.3,1306.0,12.63,9660.0,1.71,260,1.58
472,024890,대원화성,2940,-95,-3.13,104.0,28.27,1925.0,1.53,10,0.34
473,290380,대유,14600,150,1.04,543.0,26.89,6992.0,2.09,250,1.71
474,002880,대유에이텍,1110,5,0.45,94.0,11.81,1013.0,1.1,0,0.0
475,290120,대유에이피,7180,30,0.42,733.0,9.8,4288.0,1.67,200,2.79
476,000300,대유플러스,822,-14,-1.67,152.0,5.41,953.0,0.86,0,0.0
477,120240,대정화금,26700,800,3.09,855.0,31.23,17078.0,1.56,300,1.12
478,003310,대주산업,2335,-15,-0.64,51.0,45.78,1472.0,1.59,30,1.28
479,078600,대주전자재료,43050,-150,-0.35,,,5269.0,8.17,0,0.0
480,012800,대창,1910,50,2.69,66.0,28.94,2023.0,0.94,10,0.52
481,015230,대창단조,8000,220,2.83,1039.0,7.7,12724.0,0.63,220,2.75
482,096350,대창솔루션,480,2,0.42,,,412.0,1.17,0,0.0
483,140520,대창스틸,3150,15,0.48,,,4685.0,0.67,100,3.17
484,131220,대한과학,13250,300,2.32,165.0,80.3,3788.0,3.5,60,0.45
485,010170,대한광통신,3180,-10,-0.31,,,2433.0,1.31,0,0.0
486,060900,대한그린파워,2490,-35,-1.39,,,188.0,13.24,0,0.0
487,054670,대한뉴팜,11200,0,0.0,1085.0,10.32,4254.0,2.63,0,0.0
488,001070,대한방직,41300,-350,-0.84,,,23893.0,1.73,0,0.0
489,023910,대한약품,40050,450,1.14,4694.0,8.53,27796.0,1.44,400,1.0
490,006650,대한유화,311000,9000,2.98,17218.0,18.06,273632.0,1.14,2500,0.8
491,001440,대한전선,1215,-10,-0.82,,,345.0,3.52,0,0.0
492,084010,대한제강,17850,-250,-1.38,1340.0,13.32,18665.0,0.96,200,1.12
493,001790,대한제당,36450,0,0.0,1717.0,21.23,48261.0,0.76,675,1.85
494,001795,대한제당우,34250,0,0.0,,,,,700,2.04
495,001130,대한제분,157000,3000,1.95,10196.0,15.4,449614.0,0.35,2000,1.27
496,003490,대한항공,26800,-200,-0.74,,,17950.0,1.49,0,0.0
497,003495,대한항공우,39500,-200,-0.5,,,,,0,0.0
498,005880,대한해운,2920,-20,-0.68,374.0,7.81,3394.0,0.86,0,0.0
499,003830,대한화섬,147000,12000,8.89,20048.0,7.33,401661.0,0.37,410,0.28
500,016090,대현,2405,10,0.42,376.0,6.4,4498.0,0.53,100,4.16
501,069460,대호에이엘,2590,105,4.23,,,972.0,2.66,0,0.0
502,021040,대호특수강,836,6,0.72,10.0,83.6,933.0,0.9,0,0.0
503,021045,대호특수강우,1440,-35,-2.37,,,,,0,0.0
504,067080,대화제약,12200,200,1.67,600.0,20.33,4354.0,2.8,150,1.23
505,298540,더네이쳐홀딩스,56200,200,0.36,3167.0,17.75,12200.0,4.61,0,0.0
506,192080,더블유게임즈,69200,-100,-0.14,6541.0,10.58,35440.0,1.95,350,0.51
507,299170,더블유에스아이,3045,5,0.16,,,,,0,0.0
508,012510,더존비즈온,88700,1200,1.37,1684.0,52.67,11427.0,7.76,470,0.53
509,213420,덕산네오룩스,44300,-800,-1.77,798.0,55.51,6662.0,6.65,0,0.0
510,317330,덕산테코피아,20550,450,2.24,696.0,29.53,7900.0,2.6,0,0.0
511,077360,덕산하이메탈,13350,200,1.52,563.0,23.71,8904.0,1.5,0,0.0
512,004830,덕성,26550,-600,-2.21,10.0,2655.0,3690.0,7.2,20,0.08
513,004835,덕성우,42000,4250,11.26,,,,,25,0.06
514,090410,덕신하우징,1540,-20,-1.28,39.0,39.49,1814.0,0.85,0,0.0
515,024900,덕양산업,3315,125,3.92,,,1439.0,2.3,0,0.0
516,263600,덕우전자,8510,40,0.47,556.0,15.31,5581.0,1.52,140,1.65
517,194480,데브시스터즈,128200,9100,7.64,,,9195.0,13.94,0,0.0
518,263800,데이타솔루션,6130,-220,-3.46,,,1623.0,3.78,0,0.0
519,206560,덱스터,8120,-200,-2.4,,,2242.0,3.62,0,0.0
520,261200,덴티스,2015,15,0.75,,,,,0,0.0
521,145720,덴티움,59800,-5400,-8.28,1714.0,34.89,18695.0,3.2,0,0.0
522,067990,도이치모터스,7000,0,0.0,2036.0,3.44,8689.0,0.81,0,0.0
523,002150,도화엔지니어링,9180,-20,-0.22,519.0,17.69,7490.0,1.23,250,2.72
524,006620,동구바이오제약,9880,110,1.13,536.0,18.43,3018.0,3.27,100,1.01
525,100130,동국S&C,6350,120,1.93,171.0,37.13,4582.0,1.39,100,1.57
526,005160,동국산업,3765,0,0.0,263.0,14.32,7054.0,0.53,130,3.45
527,075970,동국알앤에스,7330,90,1.24,140.0,52.36,4066.0,1.8,80,1.09
528,001230,동국제강,18200,800,4.6,,,19382.0,0.94,0,0.0
529,086450,동국제약,28400,-200,-0.7,1283.0,22.14,8031.0,3.54,160,0.56
530,023450,동남합성,55900,300,0.54,4926.0,11.35,20576.0,2.72,200,0.36
531,004140,동방,6130,-50,-0.81,,,2695.0,2.27,0,0.0
532,099410,동방선기,1900,-50,-2.56,,,2108.0,0.9,0,0.0
533,007590,동방아그로,7270,170,2.39,555.0,13.1,10032.0,0.72,250,3.44
534,005960,동부건설,13450,-150,-1.1,2814.0,4.78,19059.0,0.71,700,5.2
535,005965,동부건설우,25450,300,1.19,,,,,750,2.95
536,026960,동서,32000,300,0.95,1388.0,23.05,13419.0,2.38,700,2.19
537,002210,동성제약,11900,0,0.0,,,2689.0,4.43,0,0.0
538,102260,동성코퍼레이션,5950,70,1.19,128.0,46.48,6198.0,0.96,200,3.36
539,033500,동성화인텍,13150,-100,-0.75,634.0,20.74,3517.0,3.74,220,1.67
540,005190,동성화학,17900,0,0.0,2517.0,7.11,21972.0,0.81,600,3.35
541,025950,동신건설,62400,1900,3.14,100.0,624.0,10388.0,6.01,0,0.0
542,000640,동아쏘시오홀딩스,117000,7000,6.36,3220.0,36.34,121392.0,0.96,1000,0.85
543,170900,동아에스티,85600,2000,2.39,8404.0,10.19,76488.0,1.12,1000,1.17
544,088130,동아엘텍,9340,-10,-0.11,1111.0,8.41,15454.0,0.6,150,1.61
545,028100,동아지질,18450,400,2.22,1686.0,10.94,16860.0,1.09,200,1.08
546,282690,동아타이어,11650,0,0.0,1799.0,6.48,25988.0,0.45,500,4.29
547,041930,동아화성,12000,0,0.0,684.0,17.54,6826.0,1.76,50,0.42
548,001520,동양,1450,-10,-0.68,,,3428.0,0.42,40,2.76
549,001527,동양2우B,11900,-100,-0.83,,,,,150,1.26
550,001529,동양3우B,23850,0,0.0,,,,,150,0.63
551,084670,동양고속,23750,0,0.0,12104.0,1.96,45514.0,0.52,4700,19.79
552,002900,동양물산,1690,0,0.0,61.0,27.7,882.0,1.92,0,0.0
553,082640,동양생명,4425,-30,-0.67,739.0,5.99,16121.0,0.27,230,5.2
554,060380,동양에스텍,2985,395,15.25,101.0,29.55,2615.0,1.14,100,3.35
555,001525,동양우,6640,0,0.0,,,,,90,1.36
556,079960,동양이엔피,19400,900,4.86,3154.0,6.15,27524.0,0.7,300,1.55
557,008970,동양철관,1415,0,0.0,15.0,94.33,671.0,2.11,0,0.0
558,228340,동양파일,6690,-260,-3.74,,,6112.0,1.09,0,0.0
559,092780,동양피스톤,5830,230,4.11,753.0,7.74,8059.0,0.72,120,2.06
560,088910,동우팜투테이블,3605,35,0.98,102.0,35.34,7357.0,0.49,0,0.0
561,094170,동운아나텍,10850,-50,-0.46,503.0,21.57,1503.0,7.22,50,0.46
562,049770,동원F&B,193000,-1500,-0.77,17015.0,11.34,176519.0,1.09,3000,1.55
563,013120,동원개발,5760,10,0.17,933.0,6.17,8492.0,0.68,170,2.95
564,018500,동원금속,1090,-25,-2.24,350.0,3.11,1363.0,0.8,0,0.0
565,006040,동원산업,258000,1500,0.58,12635.0,20.42,282744.0,0.91,2000,0.78
566,030720,동원수산,9450,70,0.75,1304.0,7.25,10939.0,0.86,0,0.0
567,014820,동원시스템즈,48400,700,1.47,1485.0,32.59,17529.0,2.76,500,1.03
568,014825,동원시스템즈우,36500,900,2.53,,,,,550,1.51
569,163560,동일고무벨트,9540,40,0.42,597.0,15.98,13940.0,0.68,100,1.05
570,109860,동일금속,13000,-100,-0.76,2420.0,5.37,17743.0,0.73,280,2.15
571,032960,동일기연,14300,0,0.0,852.0,16.78,14924.0,0.96,40,0.28
572,004890,동일산업,81200,0,0.0,1726.0,47.05,145886.0,0.56,750,0.92
573,002690,동일제강,3530,-20,-0.56,74.0,47.7,8703.0,0.41,10,0.28
574,023790,동일철강,5750,90,1.59,611.0,9.41,7397.0,0.78,0,0.0
575,005290,동진쎄미켐,32300,-450,-1.37,1138.0,28.38,6931.0,4.66,90,0.28
576,025900,동화기업,59500,3400,6.06,1581.0,37.63,26226.0,2.27,150,0.25
577,000020,동화약품,15500,450,2.99,341.0,45.45,10772.0,1.44,120,0.77
578,000150,두산,49500,0,0.0,21900.0,2.26,72969.0,0.68,5200,10.51
579,000157,두산2우B,57700,0,0.0,,,,,5200,9.01
580,241560,두산밥캣,41150,-700,-1.67,2716.0,15.15,39692.0,1.04,1200,2.92
581,000155,두산우,39600,-100,-0.25,,,,,5250,13.26
582,042670,두산인프라코어,10550,-150,-1.4,1153.0,9.15,10677.0,0.99,0,0.0
583,034020,두산중공업,13200,-100,-0.75,,,11643.0,1.13,0,0.0
584,336260,두산퓨얼셀,50800,-1300,-2.5,162.0,313.58,2277.0,22.31,0,0.0
585,33626K,두산퓨얼셀1우,15250,-150,-0.97,,,,,0,0.0
586,33626L,두산퓨얼셀2우B,18400,-250,-1.34,,,,,0,0.0
587,016740,두올,5200,0,0.0,374.0,13.9,5223.0,1.0,80,1.54
588,073190,듀오백,4035,20,0.5,,,2289.0,1.76,0,0.0
589,030350,드래곤플라이,2360,25,1.07,,,773.0,3.05,0,0.0
590,203650,드림시큐리티,5610,-20,-0.36,69.0,81.3,1271.0,4.41,0,0.0
591,223250,드림씨아이에스,19050,550,2.97,1032.0,18.46,2671.0,7.13,0,0.0
592,060570,드림어스컴퍼니,6330,60,0.96,,,2074.0,3.05,0,0.0
593,192650,드림텍,10050,-50,-0.5,417.0,24.1,3575.0,2.81,160,1.59
594,217620,디딤,1990,0,0.0,39.0,51.03,887.0,2.24,0,0.0
595,187870,디바이스이엔지,40800,0,0.0,698.0,58.45,9062.0,4.5,0,0.0
596,066670,디스플레이텍,5280,20,0.38,316.0,16.71,8006.0,0.66,100,1.89
597,024090,디씨엠,20650,450,2.23,2385.0,8.66,14933.0,1.38,500,2.42
598,003160,디아이,7410,-50,-0.67,23.0,322.17,4256.0,1.74,50,0.67
599,092200,디아이씨,3230,45,1.41,,,3969.0,0.81,0,0.0
600,110990,디아이티,10950,50,0.46,713.0,15.36,9120.0,1.2,200,1.83
601,263690,디알젬,14650,1200,8.92,485.0,30.21,2872.0,5.1,50,0.34
602,214680,디알텍,1590,-5,-0.31,20.0,79.5,763.0,2.08,0,0.0
603,263720,디앤씨미디어,40800,1100,2.77,404.0,100.99,3383.0,12.06,0,0.0
604,109740,디에스케이,6490,120,1.88,308.0,21.07,5531.0,1.17,0,0.0
605,033430,디에스티,370,0,0.0,,,64.0,5.78,0,0.0
606,131030,디에이치피코리아,8160,0,0.0,894.0,9.13,6505.0,1.25,100,1.23
607,196490,디에이테크놀로지,6090,-140,-2.25,,,5715.0,1.07,0,0.0
608,066900,디에이피,4590,235,5.4,54.0,85.0,4423.0,1.04,0,0.0
609,127120,디엔에이링크,5500,660,13.64,,,815.0,6.75,0,0.0
610,092070,디엔에프,21950,-500,-2.23,220.0,99.77,8388.0,2.62,0,0.0
611,134580,디엠티,3100,-60,-1.9,,,2181.0,1.42,0,0.0
612,039840,디오,40800,600,1.49,1483.0,27.51,9174.0,4.45,0,0.0
613,013570,디와이,5850,-30,-0.51,646.0,9.06,13449.0,0.43,150,2.56
614,210540,디와이파워,20750,150,0.73,1729.0,12.0,15129.0,1.37,200,0.96
615,104460,디와이피엔에프,28950,-400,-1.36,2212.0,13.09,6402.0,4.52,350,1.21
616,079810,디이엔티,8220,80,0.98,,,1469.0,5.6,0,0.0
617,227100,디자인,11450,1150,11.17,,,4597.0,2.49,0,0.0
618,113810,디젠스,897,15,1.7,,,597.0,1.5,0,0.0
619,043360,디지아이,3455,135,4.07,,,5064.0,0.68,0,0.0
620,197140,디지캡,8300,-200,-2.35,185.0,44.86,3932.0,2.11,70,0.84
621,106520,디지탈옵틱,503,7,1.41,,,637.0,0.79,0,0.0
622,068930,디지털대성,8270,160,1.97,762.0,10.85,3693.0,2.24,300,3.63
623,033130,디지틀조선,3865,20,0.52,92.0,42.01,2070.0,1.87,30,0.78
624,105740,디케이락,12750,-50,-0.39,1029.0,12.39,10995.0,1.16,200,1.57
625,263020,디케이앤디,10300,150,1.48,365.0,28.22,6629.0,1.55,0,0.0
626,290550,디케이티,20450,600,3.02,966.0,21.17,7085.0,2.89,0,0.0
627,007340,디티알오토모티브,30250,-650,-2.1,7539.0,4.01,60240.0,0.5,1500,4.96
628,187220,디티앤씨,7240,70,0.98,,,7738.0,0.94,0,0.0
629,026890,디피씨,20050,1350,7.22,287.0,69.86,3705.0,5.41,80,0.4
630,131180,딜리,1820,0,0.0,74.0,24.59,1964.0,0.93,40,2.2
631,317120,라닉스,12800,100,0.79,,,1873.0,6.83,0,0.0
632,042510,라온시큐어,4800,110,2.35,66.0,72.73,682.0,7.04,0,0.0
633,300120,라온피플,26100,-150,-0.57,989.0,26.39,6090.0,4.29,150,0.57
634,050120,라이브플렉스,5270,-40,-0.75,,,6670.0,0.79,0,0.0
635,171120,라이온켐텍,9300,120,1.31,584.0,15.92,5776.0,1.61,150,1.61
636,069540,라이트론,5420,0,0.0,276.0,19.64,2648.0,2.05,0,0.0
637,347700,라이프시맨틱스,13900,-300,-2.11,,,,,0,0.0
638,214260,라파스,32000,2400,8.11,18.0,1777.78,5733.0,5.58,0,0.0
639,115390,락앤락,15200,250,1.67,302.0,50.33,12620.0,1.2,0,0.0
640,171010,램테크놀러지,6380,-40,-0.62,276.0,23.12,2683.0,2.38,0,0.0
641,084650,랩지노믹스,23250,1300,5.92,93.0,250.0,2922.0,7.96,0,0.0
642,217500,러셀,5940,-50,-0.83,147.0,40.41,1265.0,4.7,25,0.42
643,033600,럭슬,179,0,0.0,,,988.0,0.18,0,0.0
644,141080,레고켐바이오,59300,1200,2.07,641.0,92.51,4741.0,12.51,0,0.0
645,060300,레드로버,1830,0,0.0,,,312.0,5.87,0,0.0
646,038390,레드캡투어,21150,50,0.24,2699.0,7.84,19085.0,1.11,800,3.78
647,294140,레몬,9360,250,2.74,,,623.0,15.02,0,0.0
648,228670,레이,55600,200,0.36,1915.0,29.03,8647.0,6.43,0,0.0
649,228850,레이언스,12750,100,0.79,933.0,13.67,11711.0,1.09,300,2.35
650,281740,레이크머티리얼즈,3860,-65,-1.66,10.0,386.0,1836.0,2.1,0,0.0
651,277810,레인보우로보틱스,27350,500,1.86,,,623.0,43.9,0,0.0
652,215100,로보로보,5510,-70,-1.25,63.0,87.46,1383.0,3.98,13,0.24
653,090360,로보스타,29250,-850,-2.82,,,9889.0,2.96,0,0.0
654,108490,로보티즈,18400,100,0.55,221.0,83.26,5454.0,3.37,0,0.0
655,067730,로지시스,9730,-80,-0.82,,,1676.0,5.81,60,0.62
656,071280,로체시스템즈,6390,-30,-0.47,80.0,79.88,4274.0,1.5,0,0.0
657,032350,롯데관광개발,18900,-400,-2.07,,,4348.0,4.35,0,0.0
658,000400,롯데손해보험,1810,-15,-0.82,,,3112.0,0.58,0,0.0
659,023530,롯데쇼핑,125500,-1000,-0.79,,,376333.0,0.33,3800,3.03
660,004000,롯데정밀화학,60700,-1900,-3.04,6611.0,9.18,57873.0,1.05,1700,2.8
661,286940,롯데정보통신,38750,150,0.39,3720.0,10.42,25357.0,1.53,700,1.81
662,280360,롯데제과,141000,2500,1.81,5936.0,23.75,188501.0,0.75,1300,0.92
663,004990,롯데지주,33350,-100,-0.3,,,63267.0,0.53,1100,3.3
664,00499K,롯데지주우,60400,100,0.17,,,,,1150,1.9
665,005300,롯데칠성,133000,500,0.38,,,138233.0,0.96,2700,2.03
666,005305,롯데칠성우,66500,100,0.15,,,,,2705,4.07
667,011170,롯데케미칼,291000,-2000,-0.68,20860.0,13.95,385244.0,0.76,6700,2.3
668,002270,롯데푸드,372500,500,0.13,41242.0,9.03,625100.0,0.6,12000,3.22
669,071840,롯데하이마트,40650,150,0.37,,,81410.0,0.5,1000,2.46
670,038060,루멘스,1520,25,1.67,,,2482.0,0.61,0,0.0
