,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
23,023460,CNH,3950,910,29.93,424.0,9.32,2811.0,1.41,30,0.76
24,056000,COWON,2860,0,0.0,,,1229.0,2.33,0,0.0
25,065770,CS,5980,1380,30.0,,,1155.0,5.18,0,0.0
26,083660,CSA 코스믹,1450,0,0.0,,,836.0,1.73,0,0.0
27,000590,CS홀딩스,75300,5200,7.42,8435.0,8.93,195584.0,0.39,500,0.66
28,012030,DB,966,36,3.87,23.0,42.0,1049.0,0.92,0,0.0
29,367340,DB금융스팩8호,2090,-10,-0.48,,,,,0,0.0
30,367360,DB금융스팩9호,2070,0,0.0,,,,,0,0.0
31,016610,DB금융투자,6880,200,2.99,1172.0,5.87,16484.0,0.42,250,3.63
32,005830,DB손해보험,46200,100,0.22,5966.0,7.74,84026.0,0.55,1500,3.25
33,000990,DB하이텍,55000,-700,-1.26,2410.0,22.82,14483.0,3.8,350,0.64
34,000995,DB하이텍1우,114000,4000,3.64,,,,,400,0.35
35,139130,DGB금융지주,8240,90,1.1,1900.0,4.34,27296.0,0.3,410,4.98
36,001530,DI동일,177000,6000,3.51,6765.0,26.16,195965.0,0.9,1500,0.85
37,000210,DL,84800,-300,-0.35,17223.0,4.92,153815.0,0.55,1300,1.53
38,001880,DL건설,36150,-550,-1.5,6265.0,5.77,30161.0,1.2,400,1.11
39,000215,DL우,44100,150,0.34,,,,,1350,3.06
40,375500,DL이앤씨,127500,500,0.39,,,,,0,0.0
41,37550K,DL이앤씨우,75800,0,0.0,,,,,0,0.0
42,068790,DMS,8860,190,2.19,768.0,11.54,7205.0,1.23,75,0.85
43,004840,DRB동일,6790,10,0.15,461.0,14.73,17771.0,0.38,100,1.47
44,241520,DSC인베스트먼트,7370,250,3.51,233.0,31.63,1343.0,5.49,0,0.0
45,155660,DSR,6050,-120,-1.94,546.0,11.08,9613.0,0.63,50,0.83
46,069730,DSR제강,5760,-90,-1.54,469.0,12.28,9851.0,0.58,40,0.69
47,017940,E1,45600,700,1.56,,,166288.0,0.27,2200,4.82
48,245620,EDGC,4745,-75,-1.56,,,560.0,8.47,0,0.0
49,037370,EG,11000,-250,-2.22,,,4426.0,2.49,0,0.0
50,079190,EMW,2780,0,0.0,120.0,23.17,971.0,2.86,0,0.0
51,007700,F&F,157000,3500,2.28,7158.0,21.93,31366.0,5.01,1000,0.64
52,130500,GH신소재,6720,220,3.38,204.0,32.94,3899.0,1.72,0,0.0
53,114090,GKL,15950,-200,-1.24,1170.0,13.63,9460.0,1.69,659,4.13
54,078930,GS,39050,150,0.39,5745.0,6.8,93746.0,0.42,1900,4.87
55,083450,GST,28100,1600,6.04,2010.0,13.98,10657.0,2.64,200,0.71
56,006360,GS건설,44750,-700,-1.54,5590.0,8.01,49623.0,0.9,1000,2.23
57,001250,GS글로벌,2695,105,4.05,,,4351.0,0.62,0,0.0
58,007070,GS리테일,37700,-350,-0.92,1729.0,21.8,28232.0,1.34,750,1.99
59,078935,GS우,33250,250,0.76,,,,,1950,5.86
60,028150,GS홈쇼핑,152900,-300,-0.2,18339.0,8.34,174659.0,0.88,6500,4.25
61,045890,GV,240,0,0.0,,,811.0,0.3,0,0.0
62,078150,HB테크놀러지,3595,-160,-4.26,41.0,87.68,2025.0,1.78,20,0.56
63,012630,HDC,12400,-150,-1.2,4460.0,2.78,36131.0,0.34,200,1.61
64,039570,HDC아이콘트롤스,10400,-250,-2.35,,,10245.0,1.02,350,3.37
65,089470,HDC현대EP,6300,0,0.0,445.0,14.16,8886.0,0.71,120,1.9
66,294870,HDC현대산업개발,28450,-650,-2.23,8731.0,3.26,47095.0,0.6,500,1.76
67,011200,HMM,29900,50,0.17,,,3420.0,8.74,0,0.0
68,036640,HRS,5940,-50,-0.83,60.0,99.0,4475.0,1.33,0,0.0
69,082740,HSD엔진,8970,70,0.79,,,5722.0,1.57,0,0.0
70,335870,IBKS제12호스팩,2160,-10,-0.46,,,,,0,0.0
71,351340,IBKS제13호스팩,2135,5,0.23,,,,,0,0.0
72,351320,IBKS제14호스팩,2140,10,0.47,,,,,0,0.0
73,373200,IBKS제15호스팩,2140,10,0.47,,,,,0,0.0
74,003560,IHQ,2455,45,1.87,,,933.0,2.63,0,0.0
75,095340,ISC,23500,800,3.52,311.0,75.56,12011.0,1.96,50,0.21
76,099520,ITX-AI,1285,0,0.0,,,598.0,2.15,0,0.0
